number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
95,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:41.369079,2024-01-16 16:33:41.486414,0 days 00:00:00.117335,2.4452886432654357,21,2.095280420400577,25,1,COMPLETE
96,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:41.487377,2024-01-16 16:33:41.606675,0 days 00:00:00.119298,2.488721689367588,24,2.0750498557828503,23,1,COMPLETE
97,0.33252397882174395,0.04820073424248164,2024-01-16 16:33:41.606675,2024-01-16 16:33:41.799291,0 days 00:00:00.192616,2.474935397554925,19,2.155578096316627,22,1,COMPLETE
98,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:41.800289,2024-01-16 16:33:41.917957,0 days 00:00:00.117668,2.3288364154327597,20,2.071944196504805,24,1,COMPLETE
99,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:41.918990,2024-01-16 16:33:42.036355,0 days 00:00:00.117365,2.4054522148934727,21,2.2016890761454717,22,1,COMPLETE
100,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:42.037350,2024-01-16 16:33:42.199107,0 days 00:00:00.161757,2.4032280463766265,19,2.034983496114655,23,2,COMPLETE
101,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:42.201069,2024-01-16 16:33:42.313381,0 days 00:00:00.112312,2.4683869696986216,21,2.095280420400577,26,2,COMPLETE
102,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:42.314377,2024-01-16 16:33:42.424728,0 days 00:00:00.110351,2.4861382777043994,21,2.0642125445766086,21,2,COMPLETE
103,0.3966394066473644,0.060276357991827755,2024-01-16 16:33:42.425693,2024-01-16 16:33:42.558992,0 days 00:00:00.133299,2.4784074981147453,20,2.155578096316627,20,2,COMPLETE
104,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:42.559991,2024-01-16 16:33:42.692763,0 days 00:00:00.132772,2.4343307447761853,24,2.1939264284769444,23,2,COMPLETE
105,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:42.693763,2024-01-16 16:33:42.814359,0 days 00:00:00.120596,2.3779131873343293,24,2.1101066354533864,23,2,COMPLETE
106,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:42.815352,2024-01-16 16:33:42.920678,0 days 00:00:00.105326,2.4784074981147453,22,2.206385393480181,25,2,COMPLETE
