,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
1171,2020-10-30,3766000,1167278000,309.5,313.0,307.0,311.0,1.5,2794
1172,2020-11-02,4377000,1332890000,312.5,313.0,300.5,302.5,-8.5,3473
1173,2020-11-03,2458000,750106000,305.5,308.0,303.0,306.0,3.5,2015
1174,2020-11-04,3025000,927538000,310.0,310.0,303.0,310.0,4.0,2370
1175,2020-11-05,4657000,1459633000,310.0,316.0,309.0,316.0,6.0,3376
1176,2020-11-06,3374000,1070417000,319.0,320.0,313.5,314.0,-2.0,2845
1177,2020-11-09,5403000,1736403000,319.0,324.0,318.0,321.0,7.0,4088
1178,2020-11-10,2822000,895085000,323.0,323.0,313.5,315.0,-6.0,2299
1179,2020-11-11,4306000,1372010000,318.5,321.0,315.0,318.5,3.5,3175
1180,2020-11-12,2228000,703977000,320.5,321.0,314.0,314.0,-4.5,1752
1181,2020-11-13,2558000,808125000,315.0,318.5,313.0,318.5,4.5,1879
1182,2020-11-16,13274000,4394644000,322.5,335.0,321.5,332.0,13.5,10129
1183,2020-11-17,9854000,3299486000,334.0,341.0,325.0,327.0,-5.0,7784
1184,2020-11-18,6149000,2039663000,327.0,336.0,325.5,334.5,7.5,4541
1185,2020-11-19,5720000,1922810000,334.5,341.0,331.5,336.0,1.5,4563
1186,2020-11-20,3228000,1086548000,337.5,338.0,333.0,338.0,2.0,2645
1187,2020-11-23,8884000,3035128000,345.5,353.0,333.0,334.5,-3.5,6636
1188,2020-11-24,5728000,1917928000,335.5,339.0,329.0,337.0,2.5,3974
1189,2020-11-25,4330000,1437506000,338.0,339.5,329.0,329.0,-8.0,3493
1190,2020-11-26,2747000,915131000,333.0,335.5,331.0,331.5,2.5,2065
1191,2020-11-27,1983000,657806000,331.5,333.5,329.5,333.0,1.5,1658
1192,2020-11-30,4472000,1501358000,336.0,338.5,332.0,335.0,2.0,2472
1193,2020-12-01,2045000,684021000,336.0,337.0,331.0,336.5,1.5,1687
1194,2020-12-02,11064000,3845048000,338.0,351.5,336.5,347.0,10.5,8372
1195,2020-12-03,5556000,1931972000,349.5,351.5,343.0,350.0,3.0,4107
1196,2020-12-04,3650000,1275488000,352.5,352.5,347.0,347.5,-2.5,2730
1197,2020-12-07,5061000,1722712000,350.0,350.0,336.0,340.0,-7.5,4219
1198,2020-12-08,3446000,1180876000,337.5,346.5,337.0,345.0,5.0,2656
1199,2020-12-09,6718000,2376256000,348.0,359.5,346.0,358.0,13.0,5260
1200,2020-12-10,3948000,1382025000,353.0,353.0,346.5,350.0,-8.0,3246
1201,2020-12-11,7504000,2554687000,350.0,350.5,333.5,339.0,-11.0,5422
1202,2020-12-14,8484000,2931213000,346.5,354.0,337.5,337.5,-1.5,6510
1203,2020-12-15,3809000,1282268000,336.0,341.0,332.0,340.5,3.0,3250
1204,2020-12-16,4035000,1393161000,346.5,349.0,342.0,346.0,5.5,3032
1205,2020-12-17,1696000,582579000,345.5,347.5,341.0,341.5,-4.5,1416
1206,2020-12-18,2556000,875808000,343.0,345.0,340.5,343.0,1.5,1218
1207,2020-12-21,2683000,924292000,345.0,348.0,337.5,348.0,5.0,2279
1208,2020-12-22,2369000,821979000,347.5,351.0,342.0,342.5,-5.5,2024
1209,2020-12-23,1911000,661312000,343.5,349.5,341.0,348.5,6.0,1691
1210,2020-12-24,1345000,469669000,350.0,352.0,347.0,347.0,-1.5,1301
1211,2020-12-25,1633000,563593000,351.0,351.0,342.5,344.0,-3.0,1655
1212,2020-12-28,2618000,906826000,346.5,351.0,343.0,344.5,0.5,2348
1213,2020-12-29,1814000,629807000,348.5,350.0,345.5,345.5,1.0,1510
1214,2020-12-30,2438000,837750000,348.0,349.0,342.0,344.0,-1.5,2282
1215,2020-12-31,4843000,1692166000,348.0,354.0,345.0,346.0,2.0,4094
1216,2021-01-04,14577000,5319942000,349.5,375.5,349.5,364.5,18.5,11361
1217,2021-01-05,5507000,2029058000,367.5,373.5,363.5,369.0,4.5,4791
1218,2021-01-06,10761000,4043044000,375.0,384.0,368.0,371.0,2.0,8580
1219,2021-01-07,13345000,4732834000,353.0,360.0,350.0,355.0,-16.0,11174
1220,2021-01-08,8474000,3020529000,355.0,365.0,348.5,363.0,8.0,7525
1221,2021-01-11,18473000,7149436000,364.0,399.0,360.0,394.0,31.0,14048
1222,2021-01-12,7919000,3083717000,396.5,397.0,385.0,385.0,-9.0,7802
1223,2021-01-13,19457000,8038457000,394.0,423.5,394.0,423.5,38.5,13744
1224,2021-01-14,19735000,8587595000,424.5,459.0,415.0,424.0,0.5,17733
1225,2021-01-15,10076000,4281487000,434.0,439.0,417.0,419.5,-4.5,9191
1226,2021-01-18,6585000,2781704000,417.0,428.0,415.5,424.5,5.0,5699
1227,2021-01-19,6725000,2920262000,430.0,445.0,426.5,445.0,20.5,6085
1228,2021-01-20,15866000,7192668000,452.0,467.5,440.0,446.0,1.0,13863
1229,2021-01-21,9103000,4166322000,457.0,463.5,452.0,458.0,12.0,8588
1230,2021-01-22,7628000,3505752000,456.0,466.5,452.0,457.5,-0.5,7263
1231,2021-01-25,5414000,2478239000,460.0,465.0,451.0,451.0,-6.5,5480
1232,2021-01-26,9227000,4083454000,454.0,462.0,427.0,435.0,-16.0,9186
1233,2021-01-27,6012000,2611802000,436.0,444.0,425.0,435.0,0.0,5628
1234,2021-01-28,5320000,2243190000,424.0,425.0,418.0,418.0,-17.0,5531
1235,2021-01-29,4952000,2091005000,428.0,429.0,414.0,414.0,-4.0,4384
1236,2021-02-01,4460000,1862023000,418.0,423.0,412.0,420.5,6.5,4160
1237,2021-02-02,5998000,2606821000,426.0,442.5,426.0,434.5,14.0,5620
1238,2021-02-03,6893000,2978769000,439.0,440.5,422.5,425.5,-9.0,6157
1239,2021-02-04,26811000,10415753000,385.5,396.5,383.0,388.0,-37.5,25964
1240,2021-02-05,16877000,6338179000,388.0,389.0,370.0,370.5,-17.5,18662
1241,2021-02-17,12256000,4663325000,380.5,388.0,375.0,379.5,9.0,11375
1242,2021-02-18,5779000,2199011000,383.0,383.0,378.0,381.0,1.5,5228
1243,2021-02-19,11386000,4456417000,381.0,399.5,380.0,398.0,17.0,11120
1244,2021-02-22,10522000,4335344000,400.0,419.0,400.0,413.5,15.5,10365
1245,2021-02-23,7109000,2902838000,415.0,417.5,404.0,406.5,-7.0,7900
1246,2021-02-24,6914000,2789609000,401.0,411.5,399.5,400.5,-6.0,7037
1247,2021-02-25,6132000,2444412000,407.0,410.0,392.0,393.0,-7.5,7422
1248,2021-02-26,7173000,2737509000,383.0,386.0,378.5,380.5,-12.5,8562
1249,2021-03-02,7778000,2934649000,384.0,387.5,371.5,371.5,-9.0,9106
1250,2021-03-03,5428000,2025945000,371.5,380.5,365.5,380.5,9.0,5585
1251,2021-03-04,6392000,2363418000,375.0,376.0,364.0,369.0,-11.5,9752
1252,2021-03-05,4955000,1820399000,360.5,374.5,358.0,371.0,2.0,5001
1253,2021-03-08,6657000,2532141000,375.0,384.5,374.0,380.0,9.0,5697
1254,2021-03-09,6025000,2256376000,378.0,382.0,368.0,375.5,-4.5,5523
1255,2021-03-10,3131000,1193365000,381.0,384.5,378.0,381.0,5.5,3020
1256,2021-03-11,2915000,1124920000,385.0,388.0,384.0,386.5,5.5,3186
1257,2021-03-12,8640000,3424484000,393.0,401.0,393.0,393.5,7.0,7891
1258,2021-03-15,2838000,1112181000,395.0,395.5,388.0,392.0,-1.5,3063
1259,2021-03-16,2967000,1159196000,394.5,394.5,388.0,389.5,-2.5,3063
1260,2021-03-17,2563000,999789000,390.0,393.0,387.5,389.5,0.0,2650
1261,2021-03-18,2706000,1051138000,392.0,393.0,384.5,384.5,-5.0,3114
1262,2021-03-19,2605000,990092000,380.0,382.5,378.5,380.0,-4.5,3265
1263,2021-03-22,2735000,1050121000,378.5,388.0,378.0,384.0,4.0,2866
1264,2021-03-23,2908000,1118494000,387.0,387.0,381.0,385.0,1.0,2875
1265,2021-03-24,3250000,1252959000,384.5,390.5,382.5,384.0,-1.0,3060
1266,2021-03-25,1998000,770792000,383.0,388.0,381.5,386.0,2.0,2131
1267,2021-03-26,5501000,2167039000,389.0,398.0,387.0,397.0,11.0,5572
1268,2021-03-29,5602000,2213235000,400.5,402.0,390.0,390.5,-6.5,5858
